kind,class,name,value,provenance,verified_by,notes
function,CClientExoApp,GetClientOptions,0x0072FB00,kpm-db,prologue,
function,CClientOptions,SetCameraMode,0x007B5E50,kpm-db,prologue,
function,CExoString,CStrConstructor,0x00733570,kpm-db,prologue,
function,CExoString,CStrLenConstructor,0x00733680,kpm-db,prologue,
function,CExoString,DefaultConstructor,0x00733540,k2se-ghidra,disasm,"zeroes CStr and Length, nothing else"
function,CExoString,Destructor,0x00733780,k2se-ghidra,disasm,frees the game-owned buffer and nulls CStr
function,CGameObjectArray,GetGameObject,0x0053DFB0,kpm-db,prologue,
function,CSWInventory,GetItemInSlot,0x006D0620,kpm-db,prologue,
function,CSWItem,GetBaseItem,0x006D6E30,kpm-db,prologue,
function,CSWSCreature,GetClientCreature,0x0058AE90,kpm-db,prologue,
function,CSWSCreatureStats,AddFeat,0x006F5B40,kpm-db,prologue,
function,CSWSCreatureStats,AddKnownSpell,0x006B86A0,kpm-db,prologue,
function,CSWSCreatureStats,GetClass,0x00844E40,kpm-db,prologue,
function,CSWSCreatureStats,GetSkillRank,0x006B7BB0,kpm-db,prologue,
function,CSWSCreatureStats,HasFeat,0x006B83F0,kpm-db,prologue,
function,CSWSCreatureStats,HasSpell,0x006BD9C0,kpm-db,prologue,
function,CSWSCreatureStats,RemoveFeat,0x006B85F0,kpm-db,prologue,
function,CSWSCreatureStats,SetCHABase,0x006B69A0,kpm-db,prologue,
function,CSWSCreatureStats,SetCONBase,0x006B6850,kpm-db,prologue,
function,CSWSCreatureStats,SetDEXBase,0x006B6810,kpm-db,prologue,
function,CSWSCreatureStats,SetINTBase,0x006B6920,kpm-db,prologue,
function,CSWSCreatureStats,SetMovementRate,0x006BA320,kpm-db,prologue,
function,CSWSCreatureStats,SetSTRBase,0x006B67D0,kpm-db,prologue,
function,CSWSCreatureStats,SetSkillRank,0x006B81C0,kpm-db,prologue,
function,CSWSCreatureStats,SetWISBase,0x006B6960,kpm-db,prologue,
function,CSWSObject,AddActionToFront,0x00540CA0,kpm-db,prologue,
function,CSWVirtualMachineCommands,ExecuteCommand,0x00668FD0,k2se-ghidra,runtime,vtable slot 2; the NWScript routine dispatcher. K2SE hooks this slot
function,CSWVirtualMachineCommands,InitializeCommands,0x00665F50,k2se-ghidra,runtime,vtable slot 1; allocates 877*4 and fills the routine table with literal stores
function,CSWVirtualMachineCommands,InitializeSWMGCommands,0x006F5B80,k2se-ghidra,disasm,minigame installer; fills the remaining 103 routine slots
function,CServerExoApp,GetCreatureByGameObjectID,0x0051C100,kpm-db,prologue,
function,CServerExoApp,GetObjectArray,0x0051C080,kpm-db,prologue,
function,CServerExoApp,GetPlayerCreatureId,0x0051C8F0,kpm-db,prologue,
function,CVirtualMachine,RunScript,0x006FD8D0,kpm-db,prologue,
function,CVirtualMachine,StackPopCommand,0x006FDB30,kpm-db,prologue,
function,CVirtualMachine,StackPopEngineStructure,0x006FDAB0,k2se-ghidra,disasm,"ret 8: (int type, void** out). Type tag values still unverified"
function,CVirtualMachine,StackPopFloat,0x006FD9E0,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPopInteger,0x006FD9A0,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPopObject,0x006FDAF0,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPopString,0x006FDA70,k2se-ghidra,disasm,"copy-assigns into the caller's CExoString, which must be constructed first"
function,CVirtualMachine,StackPopVector,0x006FDA20,kpm-db,prologue,
function,CVirtualMachine,StackPushEngineStructure,0x006FDAD0,k2se-ghidra,disasm,"ret 8: (int type, void* value). Type tag values still unverified"
function,CVirtualMachine,StackPushFloat,0x006FDA00,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPushInteger,0x006FD9C0,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPushObject,0x006FDB10,kpm-db,runtime,exercised in a live K2SE session
function,CVirtualMachine,StackPushString,0x006FDA90,k2se-ghidra,disasm,allocates its own CExoString and copies; the caller retains ownership
function,CVirtualMachine,StackPushVector,0x006FDA40,kpm-db,prologue,
function,ConsoleFunc,Destructor,0x004759B0,kpm-db,prologue,
